spec,outcome,term,coef,se,p,n_obs,n_categories,rsq,sig_05,sig_10
A_twfe,price_median,S_x_post,-32.62480106320918,13.012880574207658,0.06626100575240453,195,5,0.5503602380126289,False,True
B_trend,price_median,S_x_post,-40.19962899141793,9.870195329672326,0.015187582214693665,195,5,0.2954657839857041,True,True
B_trend,price_median,S_x_t,0.33429445710320754,0.4079814570646608,0.4585783876743208,195,5,0.2954657839857041,False,False
A_twfe,BC,S_x_post,-0.0713656728036367,0.07361798082250096,0.3872376898015906,193,5,0.2617938781088517,False,False
B_trend,BC,S_x_post,0.021918617357191694,0.09890510350222494,0.8354695136814512,193,5,0.08274413421505977,False,False
B_trend,BC,S_x_t,-0.004408240607219843,0.003016315113048607,0.21769204266756326,193,5,0.08274413421505977,False,False
