category,outcome,shock_date,T,newey_west_L,beta2_level,beta2_se,beta2_p,beta2_sig_05,beta2_sig_10,beta3_slope,beta3_se,beta3_p,beta3_sig_05,beta3_sig_10,rsq
graphics-design/creative-logo-design,price_median,2022-07-12,31,3,-50.87962962962933,41.4955642565949,0.23203879036776334,False,False,-19.168871252204777,2.4223193428788896,3.824115798127551e-08,True,True,0.4042721498928361
graphics-design/creative-logo-design,price_median,2022-08-22,31,3,-31.370149911816718,1.3949012920883934,1.230706815134553e-17,True,True,12.201278659612205,1.1415661220344997,1.3191669698058387e-10,True,True,0.4042721498928361
graphics-design/creative-logo-design,price_median,2023-03-15,31,3,2.431271091113542,1.3551832413145517,0.08541395770514075,False,True,0.6155511811023325,0.15689872043080733,0.0006395573795254189,True,True,0.4042721498928361
graphics-design/creative-logo-design,BC,2022-07-12,31,3,0.010606228844550036,0.04161447442793736,0.8009957821150199,False,False,-0.012831469237842383,0.005068793042187859,0.01832146290685489,True,True,0.17426186092681228
graphics-design/creative-logo-design,BC,2022-08-22,31,3,-0.034809007124959324,0.013254449650949652,0.01479921148900006,True,True,0.02197753788711443,0.009418672123887977,0.028333076248707973,True,True,0.17426186092681228
graphics-design/creative-logo-design,BC,2023-03-15,31,3,-0.05922560982032726,0.055141638298445594,0.29347488814354683,False,False,-0.01683884816452949,0.005398985652261109,0.004670740329319387,True,True,0.17426186092681228
graphics-design/social-media-design,price_median,2022-07-12,41,3,-9.444444444444372,10.569491942652062,0.3778405045036899,False,False,-27.44152046783642,0.4978501244261097,7.651447583952872e-35,True,True,0.5665663591698055
graphics-design/social-media-design,price_median,2022-08-22,41,3,-64.97076023391887,0.24892506256279712,9.965308776825997e-58,True,True,37.5292397660822,0.2489250628224996,1.2450353864475132e-49,True,True,0.5665663591698055
graphics-design/social-media-design,price_median,2023-03-15,41,3,-26.04665946220866,1.0665729010389644,3.8571282644482483e-23,True,True,-12.618555718009205,0.08057498038394202,3.4251876584803694e-50,True,True,0.5665663591698055
graphics-design/social-media-design,BC,2022-07-12,41,3,-0.09144923014591336,0.021528792423270344,0.00015830853103349522,True,True,0.16620660942960797,0.001292290649869175,2.739149388955217e-47,True,True,0.3467331964620216
graphics-design/social-media-design,BC,2022-08-22,41,3,0.46154069607847825,0.000646149859845816,1.3672931184208648e-72,True,True,-0.2953340866488696,0.0006461469950997359,5.34053608909168e-66,True,True,0.3467331964620216
graphics-design/social-media-design,BC,2023-03-15,41,3,0.23319040019113535,0.01479958824216031,3.4128268867951496e-17,True,True,0.1340915684450269,0.0014255231082593814,1.1068662520336525e-42,True,True,0.3467331964620216
content-writing/creative-writing,price_median,2022-11-30,39,3,-19.24207794939042,10.764906117239107,0.08364070553372914,False,True,-16.004292942458303,8.985656888459339,0.08469887007791754,False,True,0.26201446668110673
content-writing/creative-writing,price_median,2023-02-01,39,3,11.479598306239444,7.518635551670742,0.13694554066791753,False,False,11.000264650083157,5.040848584479983,0.03679372145541425,True,True,0.26201446668110673
content-writing/creative-writing,price_median,2023-03-14,39,3,7.8670208441762925,2.650264107192285,0.0057289133145908,True,True,3.1332438059068153,2.515300401602024,0.22221718835988358,False,False,0.26201446668110673
content-writing/creative-writing,price_median,2024-05-13,39,3,-3.351953094049608,1.5341872382682953,0.0365839252804228,True,True,1.2032327073923546,0.31863677709575594,0.0006776576441408418,True,True,0.26201446668110673
content-writing/creative-writing,BC,2022-11-30,39,3,0.07350823276271587,0.03304042409909845,0.03350844924917935,True,True,0.051994314640257555,0.0274868056741564,0.06791783779192338,False,True,0.20294410277716335
content-writing/creative-writing,BC,2023-02-01,39,3,-0.042861975451260914,0.023067118804442333,0.0726684138490501,False,True,-0.052160175433911646,0.01598688121678299,0.0026875005821444245,True,True,0.20294410277716335
content-writing/creative-writing,BC,2023-03-14,39,3,-0.05429566098089367,0.012400141639719265,0.00012626814895011425,True,True,0.0021354855469806616,0.009420744995452441,0.8221614565286872,False,False,0.20294410277716335
content-writing/creative-writing,BC,2024-05-13,39,3,0.01222209950092075,0.024393176902100026,0.6198782239514442,False,False,-0.004424032147304531,0.003995218227370925,0.2766689949955709,False,False,0.20294410277716335
