category,month,n,BC,dip,dip_p
content-writing/creative-writing,2021-01-01,8,0.5466449225923654,0.0625,0.99
content-writing/creative-writing,2021-02-01,8,0.4406379386771544,0.125,0.2111812638134305
content-writing/creative-writing,2021-03-01,8,0.5825229749853152,0.125,0.2111812638134305
content-writing/creative-writing,2021-04-01,8,0.562308102785454,0.125,0.2111812638134305
content-writing/creative-writing,2021-05-01,8,0.5071714238939833,0.06250000000000001,0.99
content-writing/creative-writing,2021-06-01,8,0.6184223233692053,0.125,0.2111812638134305
content-writing/creative-writing,2021-07-01,8,0.5535078825020172,0.0625,0.99
content-writing/creative-writing,2021-08-01,8,0.5430258610643458,0.06250000000000001,0.99
content-writing/creative-writing,2021-09-01,8,0.5256521538937798,0.06250000000000001,0.99
content-writing/creative-writing,2021-10-01,8,0.3313922556946459,0.1,0.694615658131235
content-writing/creative-writing,2021-11-01,8,0.29418247154538857,0.11666666666666667,0.383914182477172
content-writing/creative-writing,2021-12-01,8,0.3898772427769646,0.10714285714285714,0.5734169711063286
content-writing/creative-writing,2022-01-01,8,0.36331693352739386,0.08928571428571429,0.8290716967752597
content-writing/creative-writing,2022-02-01,8,0.3571459331065567,0.125,0.2111812638134305
content-writing/creative-writing,2022-03-01,0,,,
content-writing/creative-writing,2022-04-01,8,0.46938048561041995,0.11607142857142856,0.39673865526311813
content-writing/creative-writing,2022-05-01,8,0.31078843603676864,0.11538461538461539,0.41096107445810703
content-writing/creative-writing,2022-06-01,12,0.47394505815454596,0.08653846153846155,0.6128676286289717
content-writing/creative-writing,2022-07-01,12,0.5193917428355249,0.11458333333333333,0.15540050597696897
content-writing/creative-writing,2022-08-01,8,0.5967890170067411,0.08333333333333333,0.8870562013006174
content-writing/creative-writing,2022-09-01,8,0.527088860206927,0.125,0.2111812638134305
content-writing/creative-writing,2023-01-01,8,0.5971159034913918,0.0625,0.99
content-writing/creative-writing,2023-02-01,8,0.6023017244011565,0.125,0.2111812638134305
content-writing/creative-writing,2023-03-01,8,0.5668277723719964,0.125,0.2111812638134305
content-writing/creative-writing,2023-04-01,8,0.5264046949484381,0.125,0.2111812638134305
content-writing/creative-writing,2023-05-01,8,0.5362006529382954,0.075,0.9430285064395426
content-writing/creative-writing,2023-06-01,8,0.5873860070770344,0.075,0.9430285064395426
content-writing/creative-writing,2023-07-01,0,,,
content-writing/creative-writing,2023-08-01,8,0.43062211755476065,0.08333333333333333,0.8870562013006174
content-writing/creative-writing,2023-09-01,0,,,
content-writing/creative-writing,2023-10-01,8,0.518039600345775,0.0625,0.99
content-writing/creative-writing,2023-12-01,8,0.6173206422092431,0.13392857142857142,0.14859566350045272
content-writing/creative-writing,2024-01-01,8,0.4665853872192387,0.125,0.2111812638134305
content-writing/creative-writing,2024-02-01,8,0.584841283751203,0.125,0.2111812638134305
content-writing/creative-writing,2024-03-01,8,0.5366216231243726,0.0625,0.99
content-writing/creative-writing,2024-04-01,8,0.4676675188895078,0.125,0.2111812638134305
content-writing/creative-writing,2024-05-01,8,0.5334116434431397,0.11458333333333333,0.42736423117554245
content-writing/creative-writing,2024-06-01,8,0.536531318465465,0.0625,0.99
content-writing/creative-writing,2024-07-01,8,0.47459102692316635,0.125,0.2111812638134305
content-writing/creative-writing,2024-08-01,8,0.5032810897428674,0.125,0.2111812638134305
content-writing/creative-writing,2024-09-01,8,0.5550518524868145,0.075,0.9430285064395426
content-writing/creative-writing,2024-10-01,8,0.47175483075392,0.125,0.2111812638134305
data/data-entry,2021-03-01,8,0.32425595581124494,0.125,0.2111812638134305
data/data-entry,2021-04-01,8,0.4410472122111075,0.08333333333333333,0.8870562013006174
data/data-entry,2021-05-01,8,0.3024693314413964,0.11249999999999999,0.4700124386408733
data/data-entry,2021-06-01,8,0.5192701385185992,0.0625,0.99
data/data-entry,2021-07-01,8,0.4788483870317385,0.125,0.2111812638134305
data/data-entry,2021-08-01,8,0.4070090008155158,0.09375,0.7800106958269553
data/data-entry,2021-09-01,8,0.5010559504418227,0.125,0.2111812638134305
data/data-entry,2021-10-01,8,0.47496413241383134,0.08333333333333333,0.8870562013006174
data/data-entry,2021-11-01,8,0.6727541909660856,0.09375,0.7800106958269553
data/data-entry,2021-12-01,8,0.292036711325357,0.15,0.06638883713873267
data/data-entry,2022-01-01,8,0.4026350894681912,0.125,0.2111812638134305
data/data-entry,2022-02-01,8,0.42377903810978074,0.07500000000000001,0.9430285064395425
data/data-entry,2022-03-01,8,0.4755120501389158,0.125,0.2111812638134305
data/data-entry,2022-04-01,12,0.48993587176513426,0.08333333333333333,0.6877420201762977
data/data-entry,2022-05-01,10,0.42614204366372377,0.1,0.44957525137160326
data/data-entry,2022-06-01,12,0.506349132714937,0.125,0.07575766859296418
data/data-entry,2022-07-01,8,0.3660144313639754,0.06250000000000001,0.99
data/data-entry,2022-08-01,8,0.4761904761904761,0.125,0.2111812638134305
data/data-entry,2022-09-01,8,0.6273620559334845,0.125,0.2111812638134305
data/data-entry,2022-10-01,8,0.5207240737510075,0.125,0.2111812638134305
data/data-entry,2022-11-01,8,0.6273620559334845,0.125,0.2111812638134305
data/data-entry,2023-01-01,8,0.40750966401261796,0.1875,0.001875231246540543
data/data-entry,2023-02-01,8,0.6362916803433295,0.125,0.2111812638134305
data/data-entry,2023-03-01,8,0.43138589717154274,0.125,0.2111812638134305
data/data-entry,2023-04-01,8,0.682340756250268,0.125,0.2111812638134305
data/data-entry,2023-05-01,8,0.43138589717154274,0.125,0.2111812638134305
data/data-entry,2023-06-01,8,0.5599616130441032,0.1875,0.001875231246540543
data/data-entry,2023-07-01,0,,,
data/data-entry,2023-08-01,8,0.5259437769015279,0.09375,0.7800106958269553
data/data-entry,2023-09-01,8,0.4206106415186439,0.125,0.2111812638134305
data/data-entry,2023-12-01,8,0.5495535591204305,0.0625,0.99
data/data-entry,2024-01-01,8,,0.0,1.0
data/data-entry,2024-02-01,8,,0.0,1.0
data/data-entry,2024-03-01,8,0.5495535591204305,0.0625,0.99
data/data-entry,2024-04-01,8,0.6273620559334844,0.125,0.2111812638134305
data/data-entry,2024-05-01,8,0.6273620559334844,0.125,0.2111812638134305
data/data-entry,2024-06-01,8,0.697674418604651,0.0625,0.99
data/data-entry,2024-07-01,8,0.6273620559334844,0.125,0.2111812638134305
data/data-entry,2024-08-01,8,0.2411896762057277,0.0625,0.99
data/data-entry,2024-09-01,8,0.296183206762479,0.0625,0.99
data/data-entry,2024-10-01,8,0.697674418604651,0.0625,0.99
graphics-design/creative-logo-design,2021-05-01,8,0.4445854248071524,0.09375000000000001,0.7800106958269553
graphics-design/creative-logo-design,2021-06-01,8,0.5516572512860226,0.06250000000000001,0.99
graphics-design/creative-logo-design,2021-07-01,8,0.6204300653819221,0.125,0.2111812638134305
graphics-design/creative-logo-design,2022-01-01,8,0.3831200668134879,0.08035714285714286,0.9101201138751599
graphics-design/creative-logo-design,2022-03-01,8,0.5511364696994541,0.1059322033898305,0.5962526093942166
graphics-design/creative-logo-design,2022-04-01,12,0.6175118888395534,0.09615384615384616,0.38801937849411827
graphics-design/creative-logo-design,2022-06-01,12,0.573704046236707,0.11363636363636363,0.16399198271186033
graphics-design/creative-logo-design,2022-07-01,12,0.5703144326617455,0.08991228070175439,0.5269496978543572
graphics-design/creative-logo-design,2022-08-01,8,0.5591099314695945,0.125,0.2111812638134305
graphics-design/creative-logo-design,2022-09-01,8,0.47352759626429647,0.125,0.2111812638134305
graphics-design/creative-logo-design,2022-10-01,8,0.5578013916179521,0.08333333333333333,0.8870562013006174
graphics-design/creative-logo-design,2022-11-01,8,0.5578460663082367,0.125,0.2111812638134305
graphics-design/creative-logo-design,2022-12-01,8,0.6310948911064985,0.125,0.2111812638134305
graphics-design/creative-logo-design,2023-01-01,8,0.5927982156450982,0.125,0.2111812638134305
graphics-design/creative-logo-design,2023-02-01,8,0.5714889675113053,0.06250000000000001,0.99
graphics-design/creative-logo-design,2023-03-01,8,0.5836712821114246,0.06250000000000001,0.99
graphics-design/creative-logo-design,2023-04-01,8,0.5956589456811933,0.125,0.2111812638134305
graphics-design/creative-logo-design,2023-05-01,8,0.6100337098467339,0.06250000000000001,0.99
graphics-design/creative-logo-design,2023-06-01,8,0.6331164930190631,0.125,0.2111812638134305
graphics-design/creative-logo-design,2023-07-01,8,0.34507159628065875,0.125,0.2111812638134305
graphics-design/creative-logo-design,2024-01-01,0,,,
graphics-design/creative-logo-design,2024-02-01,8,0.5473930574981516,0.125,0.2111812638134305
graphics-design/creative-logo-design,2024-03-01,8,0.37895412989557886,0.140625,0.10746864040386439
graphics-design/creative-logo-design,2024-04-01,8,0.4359555827867432,0.125,0.2111812638134305
graphics-design/creative-logo-design,2024-05-01,8,0.3992424823475244,0.125,0.2111812638134305
graphics-design/creative-logo-design,2024-06-01,8,0.6691378982442661,0.125,0.2111812638134305
graphics-design/creative-logo-design,2024-07-01,8,0.43072305311768433,0.125,0.2111812638134305
graphics-design/creative-logo-design,2024-08-01,8,0.43495651908634964,0.125,0.2111812638134305
graphics-design/creative-logo-design,2024-09-01,8,0.40158070663209516,0.125,0.2111812638134305
graphics-design/creative-logo-design,2024-10-01,8,0.5218138471507721,0.125,0.2111812638134305
graphics-design/creative-logo-design,2024-11-01,8,0.5977597430974149,0.0625,0.99
graphics-design/creative-logo-design,2024-12-01,8,0.46521163136558036,0.0625,0.99
graphics-design/social-media-design,2021-01-01,8,0.5044472666107017,0.125,0.2111812638134305
graphics-design/social-media-design,2021-02-01,8,0.48821826260822504,0.0625,0.99
graphics-design/social-media-design,2021-03-01,8,0.5811445745407919,0.125,0.2111812638134305
graphics-design/social-media-design,2021-04-01,8,0.5001036884637428,0.125,0.2111812638134305
graphics-design/social-media-design,2021-05-01,8,0.3757721841584186,0.125,0.2111812638134305
graphics-design/social-media-design,2021-06-01,8,0.5284088651251138,0.125,0.2111812638134305
graphics-design/social-media-design,2021-07-01,8,0.5169130604399063,0.125,0.2111812638134305
graphics-design/social-media-design,2021-08-01,8,0.5017822979851254,0.125,0.2111812638134305
graphics-design/social-media-design,2021-09-01,8,0.4514614802801276,0.125,0.2111812638134305
graphics-design/social-media-design,2021-10-01,8,0.5353218223134714,0.07142857142857142,0.9589426269906327
graphics-design/social-media-design,2021-11-01,8,0.4933949002443905,0.0625,0.99
graphics-design/social-media-design,2021-12-01,8,0.6215537994935143,0.08928571428571429,0.8290716967752597
graphics-design/social-media-design,2022-01-01,8,0.3678147482213299,0.12499999999999999,0.21118126381343094
graphics-design/social-media-design,2022-02-01,12,0.580153536827253,0.08333333333333336,0.6877420201762974
graphics-design/social-media-design,2022-03-01,8,0.42452303279611187,0.125,0.2111812638134305
graphics-design/social-media-design,2022-04-01,12,0.5635914556358718,0.08333333333333333,0.6877420201762977
graphics-design/social-media-design,2022-05-01,12,0.5894959862399348,0.06944444444444443,0.9207617926686457
graphics-design/social-media-design,2022-06-01,12,0.5153376122359421,0.08333333333333333,0.6877420201762977
graphics-design/social-media-design,2022-07-01,12,0.43533558448495857,0.08854166666666667,0.5624168747307456
graphics-design/social-media-design,2023-01-01,8,0.4294696473751851,0.125,0.2111812638134305
graphics-design/social-media-design,2023-02-01,8,0.3023461940689988,0.14204545454545456,0.09915801466120078
graphics-design/social-media-design,2023-03-01,8,0.36111175222269004,0.125,0.2111812638134305
graphics-design/social-media-design,2023-04-01,8,0.4195006905462718,0.06250000000000001,0.99
graphics-design/social-media-design,2023-05-01,8,0.3805687982903172,0.06250000000000001,0.99
graphics-design/social-media-design,2023-06-01,8,0.49905812881591427,0.125,0.2111812638134305
graphics-design/social-media-design,2023-07-01,8,0.370223255229043,0.11249999999999999,0.4700124386408733
graphics-design/social-media-design,2023-08-01,8,0.4406379386771544,0.125,0.2111812638134305
graphics-design/social-media-design,2023-09-01,8,0.5163022712799831,0.125,0.2111812638134305
graphics-design/social-media-design,2023-10-01,8,0.49673266183209175,0.1,0.694615658131235
graphics-design/social-media-design,2023-12-01,8,0.3931785245667318,0.125,0.2111812638134305
graphics-design/social-media-design,2024-01-01,8,0.5290260078992474,0.125,0.2111812638134305
graphics-design/social-media-design,2024-02-01,8,0.42513811319107514,0.125,0.2111812638134305
graphics-design/social-media-design,2024-03-01,8,0.644484481116809,0.125,0.2111812638134305
graphics-design/social-media-design,2024-04-01,8,0.46036514954567387,0.125,0.2111812638134305
graphics-design/social-media-design,2024-05-01,8,0.48455629421761737,0.125,0.2111812638134305
graphics-design/social-media-design,2024-06-01,8,0.5411500154399889,0.06250000000000001,0.99
graphics-design/social-media-design,2024-07-01,8,0.5890074101621819,0.125,0.2111812638134305
graphics-design/social-media-design,2024-08-01,8,0.4214385215675199,0.125,0.2111812638134305
graphics-design/social-media-design,2024-09-01,8,0.6077108608163381,0.125,0.2111812638134305
graphics-design/social-media-design,2024-10-01,8,0.44884296275471125,0.125,0.2111812638134305
graphics-design/social-media-design,2024-12-01,8,0.5537563540921412,0.125,0.2111812638134305
