category,pre_floor,post_floor,floor_Δ,pre_ceiling,post_ceiling,ceiling_Δ,verdict
Creative logo design (high),17.86712630234071,16.451741622601176,-1.4153846797395353,106.74866482419867,60.40597127353283,-46.34269355066584,floor compressed only
Social media design (high),17.015952636651534,13.462132965972362,-3.5538196706791716,75.80869128989205,36.25351339671898,-39.555177893173074,floor compressed only
Creative writing (high),13.042572117767431,11.402205714477155,-1.640366403290276,81.0655908308331,57.998714530378024,-23.06687630045508,floor compressed only
Data entry (low),8.755104443362196,4.999999999999999,-3.755104443362197,35.661121341218596,17.354204581681458,-18.30691675953714,floor compressed only
Transcription (medium),5.000000000000001,4.999999999999986,-1.509903313490213e-14,21.286314209801215,22.8659945770162,1.5796803672149835,floor compressed AND ceiling rose
